mtn,state,latitude,longitude,pass,access,nbr_runs,acreage,base,summit,vertical,avg_snowfall,proj_days
MOUNT SNOW,VT,42.9689,-72.8962,EPIC,Unlimited,,,,,,,
ATTITASH MOUNTAIN RESORT,NH,44.0828,-71.2294,EPIC,Unlimited,,,,,,,
WILDCAT MOUNTAIN,NH,44.2641,-71.2393,EPIC,Unlimited,,,,,,,
CROTCHED MOUNTAIN,NH,43.012,-71.8789,EPIC,Unlimited,,,,,,,
HUNTER MOUNTAIN,NY,42.2029,-74.226,EPIC,Unlimited,,,,,,,
LIBERTY MOUNTAIN RESORT,PA,39.7637,-77.3755,EPIC,Unlimited,,,,,,,
ROUNDTOP MOUNTAIN RESORT,PA,43.534,-72.7487,EPIC,Unlimited,,,,,,,
WHITETAIL RESORT,PA,39.7418,-77.9333,EPIC,Unlimited,,,,,,,
JACK FROST / BIG BOULDER,PA,41.1075,-75.6531,EPIC,Unlimited,,,,,,,
ALPINE VALLEY,OH,42.7358,-88.428,EPIC,Unlimited,,,,,,,
BOSTON MILLS / BRANDYWINE,OH,41.2648,-81.5644,EPIC,Unlimited,,,,,,,
MAD RIVER MOUNTAIN,OH,40.3163,-83.6805,EPIC,Unlimited,,,,,,,
HIDDEN VALLEY,MO,38.5353,-90.6507,EPIC,Unlimited,,,,,,,
SNOW CREEK,MO,39.4673,-94.9707,EPIC,Unlimited,,,,,,,
PAOLI PEAKS,IN,38.5577,-86.5102,EPIC,Unlimited,,,,,,,
TELLURIDE,CO,37.937011,-107.813979,EPIC,7 Days each,,,,,,,
SUN VALLEY,ID,43.696411,-114.354351,EPIC,7 Days each,,,,,,,
SNOWBASIN,UT,41.21615,-111.856822,EPIC,7 Days each,,,,,,,
FERNIE ALPINE RESORT,,49.463979,-115.086438,EPIC,7 Days total,,,,,,,
KICKING HORSE MOUNTAIN RESORT,,51.298996,-117.048825,EPIC,7 Days total,,,,,,,
KIMBERLEY ALPINE RESORT,,49.6881,-116.004448,EPIC,7 Days total,,,,,,,
NAKISKA SKI AREA,,50.942873,-115.150938,EPIC,7 Days total,,,,,,,
MONT-SAINTE ANNE,,47.076598,-70.904205,EPIC,7 Days total,,,,,,,
STONEHAM,,47.0303,-71.393,EPIC,7 Days total,,,,,,,
